expression,context,category
така че,ТАКА ЧЕ никой не му е виновен.,conj
а също,"Трябва да постигнем качествен скок, който да възстанови нормалното кръвообращение, А СЪЩО и белтъчния и хормоналния баланс.",conj
най-малкото,"И което беше най-лошото, да бъде съучастник или НАЙ-МАЛКОТО свидетел на бандитското спиране на един от товарните влакове по този участък.",conj
за да,"Очевидно ЗА ДА се вдигне тревога за неблагополучието сред известна част на обществото, е необходимо, освен всичко друго, човек да не се страхува, че с това би могъл да си навреди.",conj
още повече,"ОЩЕ ПОВЕЧЕ че Карл не е роден в Мадрид, нито изобщо в Испания.",conj
макар да,"Много от тях изглеждаха жилави и силни като домашни охранители, макар да не носеха униформи.",conj
ако не,"Много ли платихте на Морозови, АКО НЕ е тайна?",conj
в това число,"Задържани са от вас наши кораби, В ТОВА ЧИСЛО и „Малака“, наета за рейс до Япония.",conj
още щом,Това стана ясно ОЩЕ ЩОМ минахме през портала.,conj
така както,"Той беше сигурен в това ТАКА, КАКТО бе сигурен, че слънцето изгрява от изток.",conj
и то,"Въпреки това Софя Александровна набра номера с потискащата мисъл, че ще й откажат, И ТО грубо.",conj
е и,"Е, И после?",conj
нещо като,"На Херувимов някой му казал, че Русо бил НЕЩО КАТО Радишчев.",conj
колкото и,"КОЛКОТО И странно да звучи, стаята имаше напълно приличен вид и дори изглеждаше по своему уютна.",conj
след като,"СЛЕД КАТО информацията, оповестена от журналиста Макис Триантафилопулос в популярното му телевизионно предаване „Zoungla“ по Алфа ТВ, депутатът и адвокат, Петрос Мантувалос, се отказа от поста си.",conj
що се отнася до,"ЩО СЕ ОТНАСЯ ДО следи от женско присъствие— струва ми се, че такива следи не открих.",conj
макар и,"Честно и писах, МАКАР И проклинайки всичко на света, във Висбаден, в най-тежките дни на живота ми, понякога и без свещ, единствено на слабата светлина от уличната лампа.",conj
още повече че,"ОЩЕ ПОВЕЧЕ ЧЕ току след миг приставът взе, че се изложи.",conj
преди да,"Това обаче е много трудна задача за решаване и ще са нужни много години, ПРЕДИ ДА видим изграждането на полезни реактори за синтез.",conj
и макар,"И МАКАР да не съм по принцип за частната благотворителност, защото тя не изкоренява общественото зло, а само…",conj
така за да,"Той бе нарисувал тебеширени чертички по всяка антена ето така, за да фиксира вниманието си.",conj
а именно,"Бойна задача: контрол на тълпата, А ИМЕННО: работа в групата по цветята.",conj
в това число и,"Задържани са от вас наши кораби, В ТОВА ЧИСЛО И „Малака“, наета за рейс до Япония.",conj
а междувременно,"а междувременно чувствувал, че има такава дума и тя е някъде наблизо; напрягал сили, дано пламъкът на душата му се издигне до разума и го запали с тая велика дума.",conj
от това че,"Да не би да ми стане по-леко ОТ ТОВА, ЧЕ е машина.",conj
макар че,"Макар че Адалберто беше решен да попречи на изучаването, имах възможността да водя доста продължителни разговори с него на други теми.",conj
в същото време,"Стана ми обидно от това, че ми се налагаше да пътувам в неизвестна посока с тролей, а В СЪЩОТО ВРЕМЕ собствената ми кола…",conj
та нали,"ТА НАЛИ те нямаха нищо, освен него!",conj
след което,"Посред бял ден – тук, в столицата, в седем-осем часа през юли си е още ден – някой хвърлил камък и счупил прозореца, СЛЕД КОЕТО изчезнал.",conj
както и да,"При това, обърнете внимание, винаги депутат на управляващата партия, КАКТО И ДА се променя наименованието й.",conj
ако и,"Но АКО И моята чивия мръдне, непременно ще дойда!",conj
дотогава докато,"Та нали самите вие, японците, сте създали поговорката „всяко пътешествие е приятно само ДОТОГАВА, ДОКАТО не си започнал да плачеш за родината. “.",conj
дори да,"ДОРИ ДА ви пратя в каторга, защото на жълто билетните крадли мястото им е тъкмо в каторгата, а не сред почтените хора…",conj
че даже и,"Салов съобщи на Панафидин, че в района на Шикотан мъглата се задържа понякога месец, ЧЕ ДАЖЕ И повече…",conj
само да,"Нищо! Да го поправи, САМО ДА помогне на Саша. Тя сложи пред него лист и мастилницата.",conj
колкото до,"А КОЛКОТО ДО лекарската грешка, пратих запитване до Санктпетербургската Академия.",conj
вместо да,"ВМЕСТО ДА остане доволен, че го похвалих, и още по-доволен, задето му изразих похвалата си, той се усмихна пренебрежително и… високомерно си замълча.",conj
съм толкова,"Аз (СЪМ) ТОЛКОВА във вашите ръце, КОЛКОТО и вие в моите…",conj
колкото повече,"КОЛКОТО повече мислех по този въпрос, ТОЛКОВА повече се убеждавах, че познавам младежа.",conj
освен да,Освен да… – взе синята папка от масата. Дръжте.,conj
както и,"Такава мисъл никога не била хрумвала на Агабег, КАКТО И мисълта за желанията на самата девойка.",conj
освен ако,"ОСВЕН АКО не се окаже, че имам някой роднина в америка. Той се разхили, показвайки остатъците от зъбите си. Гледката бе в състояние да докара до инфаркт всеки стоматолог.",conj
откакто,"ОТКАКТО Ника е тук, нито една кола не спря при оградата.",conj
само дано,Устните му повтарят: — Само дано тя го прати утре.,conj
може би,"МОЖЕ БИ не си струва да изкупите втората част, а е по-разумно да му продадете първата?",parenth
по такъв начин,По такъв начин този проблем с военните превози е решен.,parenth
преди всичко,"ПРЕДИ ВСИЧКО да подкрепим материята, която според последните европейски учения е преди духа.",parenth
освен това,"ОСВЕН ТОВА урежда намалени митнически такси, визови проблеми, разнообразни документи.",parenth
в такъв случай,"В ТАКЪВ СЛУЧАЙ нищо, абсолютно нищо – отсече Авдий.",parenth
във всеки случай,ВЪВ ВСЕКИ СЛУЧАЙ сега съм сам и изоставен.,parenth
между другото,И МЕЖДУ ДРУГОТО въпросният „един час време отдавна беше минал.,parenth
струва ми се,"СТРУВА МИ СЕ, че вие единствен можете да ме разберете.",parenth
заедно с това,Баща ми беше безпощаден като опонент и ЗАЕДНО С ТОВА — колкото и абсурдно да звучи — безусловно коректен като събеседник.,parenth
тъй да се каже,"ТЪЙ ДА СЕ КАЖЕ, да отърва Авдотя Романовна от необходимостта да направи такава саможертва… за скъпите си близки.",parenth
може да се каже,"Всичко това спомогна най-вече и за този неочакван случай, благодарение на който сега се променя, МОЖЕ ДА СЕ КАЖЕ, цялата ни съдба.",parenth
в същност,"В СЪЩНОСТ тя не „заставаше, а някак витаеше наоколо му като една сянка, която неочаквано беше добила едно ново измерение, плътността.",parenth
слава богу,"Но сега, СЛАВА БОГУ, можем да ти се похвалим, че щастието ни се усмихна, за което бързам да ти съобщя.",parenth
както е известно,КАКТО Е ИЗВЕСТНО светът не е останал без добри хора.,parenth
от гледна точка на,ОТ ГЛЕДНА ТОЧКА НА баща ми аз бях еталон за красота.,parenth
по-скоро,"ПО-СКОРО не ми вярваш, защото ние с тебе сме като две различни стихии.",parenth
по негово мнение,"Сега той почна едно сепнато pizzicato, което по негово мнение изображаваше песента: „Открадна-ла сей, бабината, сла-сланин-каа, сланинка, откраднала сей бабината сланинка“… която „Сланинка “цяла е открадната от чешката „Slaninka“.",parenth
с една дума,"С ЕДНА ДУМА, всички бяха затънали в работа до гуша…",parenth
нещо повече,НЕЩО ПОВЕЧЕ – тя беше леко открехната.,parenth
според мен,"Другари и другарки, СПОРЕД МЕН в института цари апатия.",parenth
по принцип,"Нека се уверим, че ръкописът наистина е у него и че ПО ПРИНЦИП няма нищо против да го върне срещу платения аванс.",parenth
разбира се,"Опита се леко да отстъпи към вратата и, РАЗБИРА СЕ, скръцна проклетият паркет.",parenth
струваше ми се,"Струваше ми се, но не знаех дали е така.",parenth
както се казва,"КАКТО СЕ КАЗВА, оттук нататък по-подробно! И какво видяхте?",parenth
трябва да отбележа,"ТРЯБВА ДА ОТБЕЛЕЖА, че на Слава никак не му вървеше и с него вечно се случваха разни неща.",parenth
дай боже,"Ако Роза прогледа някога, ДАЙ БОЖЕ, вие ще се ожените ли за пея?",parenth
тъй или иначе,"Но, ТЪЙ ИЛИ ИНАЧЕ, от завода до кръчмата „Пияни вишни “може да се стигне по два пътя.",parenth
ако щете,"Драмата на моя баща. Или, АКО ЩЕТЕ, драмата на един неуспех.",parenth
за бога,"– Пишете, ЗА БОГА, пишете, ще чакам! – чу Алексей шепота на девойката.",parenth
дето се вика,"ДЕТО СЕ ВИКА, останаха с пръст и устата!",parenth
без съмнение,"Вие сте напълно прави, о най - мъдри сред мъдрите, и вашите съвети БЕЗ СЪМНЕНИЕ са скъпоценни за мене.",parenth
от моя гледна точка,"Когато завърших разказа си, те ми зададоха един съвършено нелеп ОТ МОЯ ГЛЕДНА ТОЧКА въпрос.",parenth
накратко казано,"Накратко казано, Надин Бойнтън вярвала, че е подтикнала съпруга си да извърши убийство.",parenth
а пропо,"А пропо, на каква заплата бих могла да разчитам при вас?",parenth
съдейки по всичко,"Момичето бързешком извади парите и ги хвърли в найлоновия плик, но СЪДЕЙКИ ПО ВСИЧКО, сумата бе смехотворна.",parenth
нямаше какво да прави,"Ника скучаеше. Тъй като нямаше какво да прави, се заслуша в разговорите.",parenth
както виждате,"КАКТО ВИЖДАТЕ, подписан е няколко дни.",parenth
нали разбирате,"И той любезно, но твърдо настоя и също изпълни говора си с разни „бихте ли били, „ако не би ви затруднило и „НАЛИ РАЗБИРАТЕ.",parenth
както и да е,"КАКТО И ДА Е, но апартаментът остана празен и запечатан само една седмица, а после в него се настаниха покойният берлиоз със съпругата си и същият този Стьопа, и той със съпругата си.",parenth
дявол да го вземе,"Красиво звучи, ДЯВОЛ ДА ГО ВЗЕМЕ!",parenth
с други думи,"С ДРУГИ ДУМИ надявахме се да изясним каква би могла да е причината, заради която са го убили.",parenth
по всяка вероятност,ПО ВСЯКА ВЕРОЯТНОСТ професорът се е погрижил приживе да изрази волята си по този въпрос.,parenth
не дай боже,"НЕ ДАЙ БОЖЕ да умра, без да съм помогнал.",parenth
може да се окаже,"Трябва да видите и моето, така че пратете да го вземат… Може да се окаже по-добро.",parenth
аз да ти кажа,"Хрътките, АЗ ДА ТИ КАЖА, са видели друг дивеч, някой заек, и тръгнали по него.",parenth
както стана ясно,"КАКТО СТАНА ЯСНО след войната, сър Джон Кембъл, който се наел да служи на японците за пари, предишния ден се бе заклел да стовари на всяка цена в далний 1100 войници и 320 коня.",parenth
честно казано,"ЧЕСТНО КАЗАНО, Фандорин до последния момент не беше сигурен дали дедукцията му ще даде някакъв резултат.",parenth
според слухове,СПОРЕД СЛУХОВЕ граничните ни земи с Баязид били размирни и той не смеел да изтегли оттам най-добрата си войска.,parenth
трябва да се предполага,"Макаров всеки момент ще се появи в порт Артур и ТРЯБВА ДА СЕ ПРЕДПОЛАГА, че райценщайн ще си изпати…",parenth
както е редно,"КАКТО Е РЕДНО, забавляваха ги две проскубани момичета с кръгло изрисувани кукумявчи очи и толкова къси поли, че не ставаха и за престилчици.",parenth
един вид,Човек ЕДИН ВИД се превръща в свой фото негатив.,part
все пак,Но ВСЕ ПАК… моля ви да си спомните накъде хукна другият престъпник.,part
още и,Тази операция е скъпа ОЩЕ И заради бащините чувства.,part
ли е,За Кавказ ЛИ Е? Равнодушно попита Колка.,part
при това,ПРИ ТОВА Достоевски се котира на запад много повече от Пушкин.,part
едва ли,Татко ЕДВА ЛИ е скрил парите в кабинета си.,part
камо ли,"Ами той, ако искаш да знаеш, дори мислите ни чува! КАМО ЛИ разговорите…",part
като че ли,Естествено – кимна той и КАТО ЧЕ ЛИ се съгласи с мен.,part
едва ли не,"Той имаше сбръчкано личице, редички бели косици и напрегнат и ЕДВА ЛИ НЕ страхлив поглед.",part
едва не,Но в момента всичко ставаше точно тук и аз ЕДВА НЕ се разплаках от обида.,part
не друго,"Ще ви иска съвет, НЕ ДРУГО.",part
нищо подобно,"От двайсет и пет години насам, професоре, кълна ви се, НИЩО ПОДОБНО.",part
не беше точно,"Походката му не беше точно нерешителна, но някак неравна, спъната, сякаш бе забравил как се ходи.",part
без друго,"— Без друго тая мръсница — каза той — ще да е изпуснала пусулката из ливадата — и заедно с Коста отидоха нататък, наведени из ливадата.",part
също както,СЪЩО КАКТО пастирите не дават на биковете да се бият и осакатяват.,part
почти като,"Колкото за самата епидемия, той не се вълнуваше никак от нея и я считаше ПОЧТИ КАТО сезонно явление, подобно на лятната диария по кърмачетата.",part
добре де,"ДОБРЕ ДЕ, пошегувах се, имам само едно огледало и то се намира в антрето…",part
именно че,"Това още преди две години и половина го знаех и две години и половина вече мисля за това ИМЕННО, ЧЕ «Дунечка много неща може да понесе».",part
съвсем не,"СЪВСЕМ НЕ, другарю Сталин.",part
всичко на всичко,"Почваше да й се струва, че това не е непознат, незнайно как попаднал в тяхното семейство летец, а нейният Миша, че не тоя неочакван гост, а нейният мъж, с когото бе прекарала ВСИЧКО НА ВСИЧКО една пролет.",part
час по час,А Настя час по час попипва халката.,part
нали поне,Нали поне отворих сейфа.,part
ха така,Ха така ― казвам аз. ― това е друго нещо.,part
да ама не,"ДА, АМА НЕ! Нетърпеливият Сашка беше отхапал едно залче от коричката си, а пестеливият Колка само я беше близнал, не беше я започнал.",part
как ли пък не,Дебнете ме? КАК ЛИ ПЪК НЕ! Знаех си аз!,part
да се чудиш и маеш,Само Данко Харсъзина – ДА СЕ ЧУДИШ И МАЕШ – цял Тома Неверний.,part
не бях,"Сърцето ми думка, разбира се, но НЕ БЯХ много притеснен.",part
заедно с,Човекът плъзва по леглото ЗАЕДНО С одеялото.,prep
въпреки че,"Въпреки че вечерта бе топла, Мириса потръпна и потърси ръката на Брант.",prep
в края на,Първите истински телескопи в Европа обаче са направени В КРАЯ НА 16-ти век.,prep
редом с,"Затова, без да се колебая пито миг, ще направя „кръгом “на място в снега и ще тръгна РЕДОМ С моята нова позната.",prep
в качеството,В КАЧЕСТВОТО НА какви взема Запорожец новите хора в Ленинград?,prep
във вид на,"То беше луксозно, от махагон и с бронзова дръжка във вид на сфинкс върху пиедестал.",prep
от страна на,Поне ОТ СТРАНА НА булката.,prep
с помощта на,"Добър е господ, С ПОМОЩТА НА писмото от Либия и с добрите услуги на тефтерчето — ще се оправим някак!",prep
по повод на,А ПО ПОВОД НА вашия татко приемете най-искрените ми.,prep
във връзка със,Друг ученик е бил арестуван ВЪВ ВРЪЗКА СЪС стрелбата в училище на 21 март.,prep
в случай на,Поговорете с командирите (на крайцери) как ще действувате в случай на открита схватка.,prep
в началото,В НАЧАЛОТО й стоеше милиционер.,prep
загледана в,"Закима Алтън, ЗАГЛЕДАНА В гения с обожаващи очи.",prep
в областта,Но в центъра В ОБЛАСТТА тук на място думата на Рязанов тежеше повече.,prep
за сметка на,"Или как другояче да ви разбираме – нека вълците да се размножават, да разкъсват нашите стада, да живеят ЗА СМЕТКА НА народната собственост?",prep
в съответствие с,Но ето В СЪОТВЕТСТВИЕ С тяхното протичане отначало чалмата се килнала наляво.,prep
не без,"За довиждане щипна Настася за хълбока – тя изпищя, но НЕ БЕЗ удоволствие.",prep
съдейки по,"Скоро той свърнал в една пресечка, където живеели само хора от първа ръка – съдейки по глухите дувари и ореховите порти, украсени с резба.",prep
в полза на,"Показанията на другите съседи не звучали чак толкова красноречиво, но също не били В ПОЛЗА НА Рита.",prep
за разлика от,"ЗА РАЗЛИКА ОТ повечето катедрали обаче, входът му бе отстрани, вместо през нартекса в дъното на наоса.",prep
по отношение на,С призив за открит дебат и формиране на консенсус в Съединените Щати относно политиката ПО ОТНОШЕНИЕ НА Близкия Изток започва докладът.,prep
върху основата на,"Картината, която изграждаше на различните епохи, бе съобразена с тия възгледи и детайлно обработена ВЪРХУ ОСНОВАТА НА многобройни научни справки.",prep
по силата на,ПО СИЛАТА НА различни причини това е много неудобно.,prep
в сравнение с,"Това е нищо В СРАВНЕНИЕ С факта, че той е жив, жив въпреки всичко!",prep
в момента на,Проблемите трябва да се решават В МОМЕНТА НА възникването им.,prep
въз основа на,"Дори се опитва да ме клъцва със зъби, хубостникът — щял съм да обявя някого за убиец ВЪЗ ОСНОВА НА фалшива следа!",prep
в името на,"И колко енергия, колко мисъл е вложил в уверенията, покаянията, словословията, налагайки си В ИМЕТО НА всичко смирение.",prep
с чиято помощ,"Това е новото „оръдие“, С ЧИЯТО ПОМОЩ ще обстрелваме щирнер.",prep
с цел,"С ЦЕЛ ограбване? Сякаш не попита, а сам си каза порфирий петрович.",prep
в рамките на,При нас свободата на всеки индивид е гарантирана В РАМКИТЕ НА нашите закони и традиции.,prep
в списъка на,"Следващата В СПИСЪКА НА хората, които трябваше да бъдат предупредени, беше експертката.",prep
в хода на,Така ги е устроила природата В ХОДА на тяхната еволюция и това е главното им предимство защото от всяка опасност могат да се спасят само с бягство.,prep
в зависимост от,Имаме заповед за обиск в апартамента ви и… – Човекът погледна мустаците на Филип Филипович и довърши: – И за арестуване В ЗАВИСИМОСТ ОТ резултата.,prep
чак до,"Считам, че можем да отстъпваме и по-нататък, ЧАК ДО Харбин.",prep
в очите на,"Ние ще останем да живеем под един покрив, освен ако започнеш да ме правиш смешен В ОЧИТЕ НА хората.",prep
в процес на,Ние се борим срещу самите престъпления когато вече са извършени или са В ПРОЦЕС НА извършване.,prep
в условия,"Той, Сталин, утвърждава своята власт В УСЛОВИЯ, когато за нея има много претенденти, убедени, че притежават по-голямо право на лениновото наследство от него.",prep
в продължение на,"От момчиловския случай насам В ПРОДЪЛЖЕНИЕ НА десет години Авакум взе участие в разкриването на пет големи афери, организирани от НАТО и ЦРУ.",prep
наред с,"Петолъчната звезда вече беше емблема на филмите за серийни убийци сатанисти, НАРЕД С другата демонична символика.",prep
в пределите на,По нейно искане да й се осигуряват самолет и парашути за извършване на учебни скокове във всеки район по неин избор в пределите на държавните граници на СССР.,prep
с изключение на,"Star Alliance, обаче, покрива целия район С ИЗКЛЮЧЕНИЕ НА източната част на южен тихи океан - от Сантяго де Чиле до Таити, където лети авиолинията Latam Oneworld.",prep
независимо от,"НЕЗАВИСИМО ОТ разследването, което извършваше криминалната милиция.",prep
недалече от,"Пастирчето отишло с магарето за дърва, НЕДАЛЕЧЕ ОТ кошарите.",prep
в района на,"Едно ще е, ако преди започването на войната В РАЙОНА НА  летището се появят огромни мъжаги с картечници, ще изплашат всичко живо наоколо.",prep
след свършването,Това ще е полезно и за самия сарафин при преминаването му в следващото битие СЛЕД СВЪРШВАНЕТО на земния му път.,prep
в чест,В ЧЕСТ на прекрасната развръзка реших да не обръщам внимание на хапливостта му.,prep
от името на,"Успокояваше го и това, че сега няма да се наложи да води неприятен разговор с първосвещеника Каиафа, който ОТ ИМЕТО НА Cинедриона открито настояваше да се потвърди присъдата на Иисус Назарянина.",prep
с оглед на,"Трето, С ОГЛЕД НА обстановката уточнявам плана си за действие.",prep
под името,"Тази акция, влязла в историята ПОД ИМЕТО „нощта на дългите ножове“, се ръководеше лично от Хитлер.",prep
в лицето на,И какво нещо – съдбата В ЛИЦЕТО НА тези зверове се смили над него.,prep
