expression,context,category
на свете,"Знаешь, Наташенька, я самая счастливая женщина НА СВЕТЕ, раз у меня есть такой муж.",adv_pred
в руки,"Богдан, возьми себя В РУКИ.",adv_pred
не раз,НЕ РАЗ видно они об этом говорили…,adv_pred
в ответ,"Ступак мямлил В ОТВЕТ, что мало в этом понимает.",adv_pred
последнее время,Ну и конечно очень популярный последнее время принт.,adv_pred
в основном,"По сообщению УКГБ, В ОСНОВНОМ в области вкладчики вносили в приобретение акций суммы до 10 тыс. долларов.",adv_pred
в прошлом,"Там, В ПРОШЛОМ, я люблю только его детство…",adv_pred
по дороге,"Я достал коньяк, который все же прихватил ПО ДОРОГЕ, разговор предполагая нервный.",adv_pred
с трудом,"Через несколько минут все кончено, рана промыта, перевязана. С ТРУДОМ слезаю со стола.",adv_pred
в душе,"А если и не переметнулся открыто, то В ДУШЕ вряд ли сочувствовал недавним руководителям района, местным активистам.",adv_pred
в свою очередь,"В СВОЮ ОЧЕРЕДЬ сотрудники УКГБ по Витебской области в ходе проведенной спецоперации изъяли более 3, 5 тыс. буклетов, около 7, 5 тыс. наклеек с логотипом этой кампании, компьютеры, ноутбуки, оргтехнику и электронные носители.",adv_pred
как всегда,"И тут же капитан в той неловкости, в которую сам себя я поставил, мне и помог, КАК ВСЕГДА помогают наивные люди.",adv_pred
в порядке,"Существует ограниченное количество разрешений, отведенных для посетителей без предварительной записи, которые доступны В ПОРЯДКЕ живой очереди.",adv_pred
во главе,"Ходят слухи, что Карл Либкнехт освобожден и скоро встанет ВО ГЛАВЕ немецкого правительства.",adv_pred
про себя,"Ступак конечно удивился и тихо порадовался ПРО СЕБЯ, что тогда ему посчастливилось неприметно вырваться из рук омоновцев.",adv_pred
ни разу,"И никому НИ РАЗУ не понадобился переводчик: то, что пропущено через сердце, понятно каждому.",adv_pred
в свое время,"В СВОЕ ВРЕМЯ, связанный семьями, проблемами их досмотра и прокорма, во всем вольному, ни от кого не зависящему Крабичу я даже завидовал.",adv_pred
в первую очередь,"Открывая новый сезон, мы стараемся учитывать В ПЕРВУЮ ОЧЕРЕДЬ пожелания наших пассажиров и планируем в соответствии с ними свои маршруты.",adv_pred
от себя,"― Я к тебе, Сущеня, ― с дурацким напряжением в голосе сказал Буров, осторожно отстраняя ОТ СЕБЯ малыша.",adv_pred
на днях,"НА ДНЯХ, как мы пришли сюда, на этот хутор, так он рвался помочь вам, когда вы на себе телегу с лесом тащили.",adv_pred
с удовольствием,В этот холодный последний день старого года я С УДОВОЛЬСТВИЕМ выпил бы стакан горячего чаю…,adv_pred
каждый раз,Я видел ее сотни раз и все равно КАЖДЫЙ РАЗ отворачиваюсь.,adv_pred
до тех пор,"Я остаюсь здесь ДО ТЕХ ПОР, пока Он не заговорит со мной.",adv_pred
на глазах,"Ждал там долго, десятка два мужчин и женщин НА ГЛАЗАХ моих встретились.",adv_pred
в последнее время,"В ПОСЛЕДНЕЕ ВРЕМЯ такая рассеянная стала, мой котеночек, такая забывчивая.",adv_pred
более или менее,"Я уже нашел БОЛЕЕ ИЛИ МЕНЕЕ подходящий грот, а тут они… напали…",adv_pred
то и дело,"ТО И ДЕЛО вздрагивая в ознобе, парень подался к костерку, возле которого в предрассветных сумерках серела одинокая тень бомжа.",adv_pred
по существу,"Впрочем, никого особенно и не искали, сразу взялись за этих четырех путейцев, хотя,  ПО СУЩЕСТВУ,  никаких конкретных улик против них и не было.",adv_pred
не только,Действующий уровень процентных ставок по-прежнему обеспечивает НЕ ТОЛЬКО надежную защиту рублевых сбережений от инфляции.,conj
так и,Повесть ТАК И осталась незавершенной.,conj
но и,НО И здесь ничего ― я просто вытерся волосами.,conj
так как,"Следует быть особенно внимательным с буквами c и g, ТАК КАК их произношение меняется в зависимости от последующей гласной.",conj
да и,Все-таки и у нас есть профессиональная этика. ДА И возможности наши не безграничны.,conj
как и,"Луна ушла из жизни в ночь двух лун. Это такое уже уникальное событие, КАК И она сама.",conj
так что,"ТАК ЧТО у нас есть что обсуждать с литовскими коллегами, для чего мы и предлагаем подписать соглашение.",conj
а также,"В этот период авиакомпания увеличивает частоту выполнения полетов, вводит традиционные сезонные рейсы, А ТАКЖЕ открывает новые направления полетов.",conj
хотя бы,"В некоторых странах или внутри магазинов определенных форматов есть ХОТЯ БЫ один, зачастую довольно простой, ресторан с доступными ценами.",conj
для того чтобы,"ДЛЯ ТОГО ЧТОБЫ демонтировать старую табличку и установить постоянный мемориал, подход к нему оградили металлопрофилем.",conj
тем более,"Пока она была маленькой, мне и самому казалось, что мы похожи, ТЕМ БОЛЕЕ при таком внешнем сходстве.",conj
хотя и,"Будучи всесторонне развитым атлетом, тигр может взбираться на деревья (ХОТЯ И не очень хорошо), плавать, прыгать на большие расстояния и тянуть с силой пяти крепких человек.",conj
если не,"Так не пойду, ЕСЛИ НЕ выгоняешь.",conj
в том числе,"С момента прибытия человека на Галапагосские острова было завезено много млекопитающих, В ТОМ ЧИСЛЕ коз, лошадей, коров, крыс, кошек и собак.",conj
как только,"Будьте уверены, КАК ТОЛЬКО вы доберетесь до причала, все станет вполне очевидно.",conj
так же как,А в средней полосе – ТАК ЖЕ КАК ячмень и овес – в качестве кормовой культуры.,conj
да еще,"Поэтому все же не скажешь, что не было в нем тогда никакой политики. Была ― ДА ЕЩЕ разноцветная.",conj
ну а,"НУ А мне, лабуху, что думать?..",conj
будто бы,"Дальнейшие поиски показали, что «мгновенья» (либо «марионетка») БУДТО БЫ принадлежит перу Надины Стейр.",conj
как ни,"КАК НИ странно, на этот раз даже Марта не пытается остановить Роберта.",conj
после того как,"Обвинение в убийстве при отягчающих обстоятельствах будет предъявлено врачу, которая работала в детской больнице Питтсбурга, Пенсильвания, ПОСЛЕ ТОГО КАК в среду ее мать нашли мертвой в багажнике ее автомобиля.",conj
что касается,"Прежде во многом, ЧТО КАСАЕТСЯ зоны, солдат полагался на бомжа, человека более здесь опытного и знающего.",conj
хоть и,"Однако, по мнению председателя профсоюза, оплата труда является ХОТЬ И наиважнейшим, но не единственным стимулом для медицинских работников.",conj
тем более что,"Рискну выразить мнение, что для стран европейского региона существует реальная угроза увеличения оттока врачей и медицинских сестер в страны Евросоюза, ТЕМ БОЛЕЕ ЧТО там существуют специальные программы найма на работу медицинских кадров из стран-соседей с помощью в адаптации, изучения языка, найма жилья.",conj
прежде чем,"Тем не менее это серьезная проблема, и ее нужно решить. Пройдет много времени, ПРЕЖДЕ ЧЕМ будут построены полезные термоядерные реакторы.",conj
и хотя,"И ХОТЯ там совсем другое было, но во грехе оно, выходит, то же самое ― во всяком случае для попов?..",conj
так чтобы,"На трибуне стояли все секретари райкома партии, рядом с первым секретарем ― его маленькая дочка, она стояла ТАК, ЧТОБЫ ее видели.",conj
а именно,"Военные времена изменяют и характер распределения рисков, которые, так сказать, социализируются, т. е. не частный капитал, А ИМЕННО государство, как бы призванное представлять публичные интересы, станет наиболее активным агентом в рыночных операциях.",conj
в том числе и,"Никакая работа не должна быть ей в тягость, В ТОМ ЧИСЛЕ И нудная, пыльная уборка, от которой болит спина и портятся руки.",conj
а между тем,"А МЕЖДУ ТЕМ, сами Колас и Купала выступали в печати с чистосердечным признанием собственной контрреволюционной деятельности.",conj
оттого что,"Проснувшись ОТТОГО, ЧТО меня тормошила Ли-Ли, я не мог понять, как она меня здесь, на трибуне, нашла.",conj
несмотря на то что,"Конкурс ничего не дал, НЕСМОТРЯ НА ТО, ЧТО в нем участвовали крупнейшие поэты — Кулешов, Танк и другие.",conj
в то время как,"Скорчившись от боли, солдат потащился в казарму, В ТО ВРЕМЯ КАК другие молча и безучастно глядели ему вслед.",conj
да ведь,"Ах, Родион Порфирьевич, ДА ВЕДЬ он младенец еще и сиротка!",conj
после чего,ПОСЛЕ ЧЕГО они с Васильком удалились спокойным шагом в сторону замка.,conj
как бы ни,"КАК БЫ НИ оправдывались и сами про себя ни думали: мы делу служим, а не власти.",conj
если и,"А ЕСЛИ И на самом деле у него нет певческого дара, ЕСЛИ И на самом деле он раб самолюбивой мечты?",conj
"до тех пор пока","Я остаюсь здесь ДО ТЕХ ПОР, ПОКА он не заговорит со мной.",conj
хоть бы,"А бычиху ХОТЬ БЫ кто упрекнул. Наоборот, восхищались, ржали все, развеселые: ну, шальная!..",conj
а то и,"Она не верит мне и думает, что ее покарают не так, как меня, А ТО И оправдают: ведь она защищалась.",conj
лишь бы,"Я готов дать ему в полтора раза больше, ЛИШЬ БЫ в кежмарке свершилось то, чего хочет господь.",conj
что до,"Но ЧТО ДО этого Ли-Ли, почему вообще ее это цепляет?..",conj
вместо того чтобы,"На старости лет, ВМЕСТО ТОГО, ЧТОБЫ забивать ""козла"" в домино или сидеть с удочкой на речке, он вынужден ремонтировать чужие машины, отбивать пальцы на кузовном ремонте.",conj
столько же,"Ребенок… ей СТОЛЬКО ЖЕ, сколько Ли-Ли. На лице Алика отразилось спокойное удивление.",conj
чем больше,"Да и думал я не так, как Крабич, а наоборот: ЧЕМ БОЛЬШЕ нормальных людей во власти, тем лучше ― они обязаны там быть.",conj
разве что,"РАЗВЕ ЧТО хитрить будет, показывая, будто ему тоскливо",conj
равно как,"РАВНО КАК и другая символика — государственная и военная, — под которой в годы сталинской тирании были уничтожены десятки миллионов ни в чем не повинных советских людей.",conj
если только,ЕСЛИ ТОЛЬКО он действительно не из голубых ― по голосу сейчас и распознаем…,conj
с тех пор как,"Сегодня ровно три месяца С ТЕХ ПОР КАК ты ― мужчина, а я ― женщина.",conj
только бы,ТОЛЬКО БЫ бедный парень умом не двинулся.,conj
может быть,"МОЖЕТ БЫТЬ, когда-нибудь я и умру.",parenth
таким образом,"ТАКИМ ОБРАЗОМ, по экспертной оценке, инфляция с начала года составила 4, 7%.",parenth
прежде всего,"ПРЕЖДЕ ВСЕГО, вера, что мы живем красиво и справедливо.",parenth
кроме того,"КРОМЕ ТОГО, по информации ГАИ, за прошедшие сутки на дорогах Беларуси было зарегистрировано 256 ДТП с материальным ущербом.",parenth
"в таком случае","В ТАКОМ СЛУЧАЕ, исполнитель может требовать от него плату за выполненную часть работы.",parenth
во всяком случае,"Через два дня поисков мне сообщили, что госпожа Стейр, будто бы родившася в Люйсвиле, штат Кентукки, и отошедшая в мир иной в 1988 году в возрасте 86 лет, вообще никогда не существовала, ВО ВСЯКОМ СЛУЧАЕ, под этим именем или литературным псевдонимом.",parenth
между прочим,"В отличие от многих европейских стран, где профессия врача одна из самых высокооплачиваемых, в Беларуси «стоимость» часа работы медицинских работников составляет всего 4404 рубля, а это, МЕЖДУ ПРОЧИМ, только 59, 7% от оплаты за час работы в промышленности.",parenth
мне кажется,"МНЕ КАЖЕТСЯ, на этот раз я дойду.",parenth
вместе с тем,"ВМЕСТЕ С ТЕМ, как сообщили на условиях анонимности европейские дипломаты, санкции не коснутся компаний Юрия Чижа, работающих со словенскими и латвийскими предприятиями.",parenth
так сказать,"– Он левой рукой нежно склоняет к себе невесту. – В годовщину Победы. ТАК СКАЗАТЬ, по семейной традиции.",parenth
можно сказать,"МОЖНО СКАЗАТЬ, ему просто повезло, если все удастся.",parenth
в сущности,"В СУЩНОСТИ, никакого особого труда или опасности в охоте нет.",parenth
слава богу,"СЛАВА БОГУ, Габриель Гарсия Маркес после интенсивного лечения и долгой реабилитации пошел немного на поправку.",parenth
как известно,"КАК ИЗВЕСТНО, пчелы нужны только для того, чтобы делать мед.",parenth
с точки зрения,"С ТОЧКИ ЗРЕНИЯ экономической политики, она ориентируется на понижение налогов ради стимулирования потребителя и внутреннего спроса, на сильный доллар.",parenth
скорее всего,"А двое из тех, что будто бы из академии были, против нас бились. СКОРЕЕ ВСЕГО, лица в штатском.",parenth
по его мнению,"ПО ЕГО МНЕНИЮ, у нас на подобные темы пишут мало и неинтересно.",parenth
одним словом,"ОДНИМ СЛОВОМ, под Минском, есть специальная больница, где раньше умирали вот такие обреченные…",parenth
более того,"БОЛЕЕ ТОГО, ЕС не намерен ограничиваться введенными ранее санкциями.",parenth
на мой взгляд,"НА МОЙ ВЗГЛЯД, если уж говорить, что он ""странный"", то он, скорее, ""странный польский"".",parenth
в принципе,"В ПРИНЦИПЕ это не очень существенная сумма для такой большой экономики, как американская, ВВП которой исчисляется в 10 триллионов долларов в год.",parenth
конечно же,"Поэтому и пистолет ― КОНЕЧНО ЖЕ, с умыслом брошенный, намеренно оставленный ― спрятала, и сбежала…",parenth
мне казалось,"МНЕ КАЗАЛОСЬ, философией он разговор о Ли-Ли оттягивает, а оттягивают обычно только самое худшее.",parenth
как говорится,"КАК ГОВОРИТСЯ, задержка пока только в соображении.",parenth
надо сказать,"НАДО СКАЗАТЬ, что с боевым кличем «Богородица! Помогай!» войско тогда ходило в атаку.",parenth
дай бог,"ДАЙ БОГ, чтобы мы встретились с тобой еще раз на небесах…",parenth
так или иначе,"ТАК ИЛИ ИНАЧЕ, он не сказал того единственного слова, и кто знает, может, и к лучшему. А может, и нет.",parenth
если хотите,"Она лишь еще одно доказательство тому, что я из другой жизни, с другой планеты. ЕСЛИ ХОТИТЕ, ее уже нет.",parenth
ради бога,"РАДИ БОГА, оставьте в покое мою бедную голову.",parenth
что называется,"ЧТО НАЗЫВАЕТСЯ, не в службу, а в дружбу.",parenth
без сомнения,"БЕЗ СОМНЕНИЯ, румыны отважились на подобные провокации не без поддержки Киевской рады.",parenth
с моей точки зрения,"С МОЕЙ ТОЧКИ ЗРЕНИЯ… я бы говорила о фатализме, этакий легкий фатализм.",parenth
иными словами,"ИНЫМИ СЛОВАМИ, держава Миндовга началась как крепнущая, присоединяющая к себе литовские земли, уже частично колонизованные, а затем и не тронутые колонизацией.",parenth
к слову,"К СЛОВУ, я учитель истории.",parenth
судя по всему,"СУДЯ ПО ВСЕМУ, поговорить полковник любил, к тому же имел уйму времени.",parenth
нечего делать,"— Сам знаешь, не моя воля: велят идти против тебя — пойду, нечего делать.",parenth
как видите,"КАК ВИДИТЕ, случаем, — неуверенно выдавил из себя Демидович, с натугой натягивая гамашу.",parenth
собственно говоря,"СОБСТВЕННО ГОВОРЯ, его бдительность возбудил офицер в форме капитана французской армии.",parenth
как бы то ни было,"КАК БЫ ТО НИ БЫЛО, большие и малые сражения шли с переменным успехом.",parenth
черт возьми,"ЧЕРТ ВОЗЬМИ, похоже на правду, иначе этот авантюрист не явился бы сюда с одним ординарцем и не вел бы себя так нагло.",parenth
другими словами,"ДРУГИМИ СЛОВАМИ, Миндовг изгнал их на верную смерть.",parenth
по всей вероятности,"Н-6813 меньше земли, и ноблов, ПО ВСЕЙ ВЕРОЯТНОСТИ, меньше, чем нас.",parenth
не дай бог,"Эвакуация… НЕ ДАЙ БОГ! ― значит, такое дело…",parenth
может оказаться,"МОЖЕТ ОКАЗАТЬСЯ и неприбыльно, попробовал прикинуться иначе.",parenth
надо думать,"Ответ, НАДО ДУМАТЬ, был написан втайне от Трайбера: ни «свободной Европы», ни «освобожденной Вайсрутении» там не было.",parenth
как выяснилось,"Деньги, КАК ВЫЯСНИЛОСЬ, были потрачены на приобретение наркотических средств.",parenth
честно говоря,"ЧЕСТНО ГОВОРЯ, я тоже немного соскучился по кухне…",parenth
по слухам,"А может, это волк-людоед, которых, ПО СЛУХАМ, много развелось в окрестных пущах.",parenth
надо полагать,"НАДО ПОЛАГАТЬ, это Лизу порадует.",parenth
как водится,"Много было у него друзей, но и враги, КАК ВОДИТСЯ, имелись.",parenth
как бы,Татьяна Шелегович КАК БЫ подвела итог общего настроения.,part
все же,"И меня поразило, что даже у сельских мужиков, в междусобоях простых и грубых, к женщинам ВСЕ ЖЕ особое отношение.",part
еще и,"За словом «мистификация» часто кроется ЕЩЕ И примитивная, лживая и бессмысленная авантюра.",part
что ли,"Ты же сам говорил. Не помнишь, ЧТО ЛИ?",part
к тому же,"Многих экзотических животных сложно отыскать, К ТОМУ ЖЕ в парках иногда налагаются ограничения на фотографирование в коммерческих целях.",part
вряд ли,Так что ВРЯД ЛИ доподлинную правду сказал Д'артаньяну Атос.,part
не то что,"Их не было, насколько я смог заметить, и в спальне, да НЕ ТО ЧТО книжных полок ― нигде книги ни одной.",part
вроде бы,"Возле досок ВРОДЕ БЫ нормально, а рядом с заготовленными метлами зашкаливает.",part
едва ли не,"Однако в рассказах дядьки Захары, ЕДВА ЛИ НЕ сказочно отдаленных по месту и времени действия, слушатели ловили и воспринимали прежде всего смешное.",part
едва не,"ЕДВА НЕ прыгали от радости, когда ""Песняры"" распадались.",part
не иначе,"Но НЕ ИНАЧЕ бесы преподнесли братьям хитроумный совет обойти дрвенцу сушей, за что поляки заплатили им, бесам, сожжением Гильгенбурга и мордованьем христиан, о чем в ближайший час горько пожалеют.",part
ничего подобного,Никто раньше мне НИЧЕГО ПОДОБНОГО не рассказывал.,part
не то чтобы,"НE ТО, ЧТОБЫ мне хотелось плакать, но так оно получается.",part
не иначе как,И нащупал тут Миколкин отец НЕ ИНАЧЕ КАК налима.,part
вроде как,"Хотя Едигей и не думал, получился ВРОДЕ КАК бы маленький траурный митинг.",part
почти что,"Она понимала, когда на это решались взрослые ― окруженцы и свои мужики, но что там могло привлечь их, ПОЧТИ ЧТО детей, едва оперившихся в жизни подростков?",part
да ладно,"ДА ЛАДНО, Богдан. Знаю я, что ты скажешь.",part
именно что,"Вот ИМЕННО, ЧТО лучше. И если мне не скажешь, то ответишь перед комендантом.",part
никак нет,"НИКАК НЕТ, товарищ капитан.",part
всего-навсего,"Это было уже и не болотце, а ВСЕГО-НАВСЕГО крохотное старое окно под старым пнем.",part
нет-нет да,"Вячка НЕТ-НЕТ ДА ловил влюбленные взгляды, которые князь Всеволод, суровый грубоватый воин, бросал на свою красавицу-жену.",part
все ж таки,"Но ВСЕ Ж ТАКИ… он ожидал услышать ее голос — знал, тогда начинается день, она приносит харч, поддерживает в нем жизнь и тоненькой ниточкой связывает его с миром и бездной событий, из которых выпал он.",part
вот то-то,"В том числе капитана Волоха. ― ВОТ ТО-ТО, лейтенант…",part
ан нет,"Кажется, панацея, спасение для всех людей, АН НЕТ. Потому что такой человек, застрахованный от всех змеиных ядов, неминуемо умирает от первого же укуса обычной пчелы.",part
как бы не так,"КАК БЫ НЕ ТАК, ― сказал он и нетерпеливо высвободился.",part
поди ж ты,"ПОДИ Ж ТЫ, вырвалась с завода, догнала. Уж на что он быстро бежал в гору, а вот не отстала.",part
не так чтобы,"НЕ ТАК ЧТОБЫ близко, но и не очень далеко.",part
вместе с,"ВМЕСТЕ С Беларусью во втором полуфинале выступят также Сербия, Македония, Нидерланды, Мальта, Португалия, Украина, Болгария, Словения, Хорватия, Швеция.",prep
несмотря на,"Они были осуждены, НЕСМОТРЯ НА серьезные сомнения по поводу их роли в этом трагическом событии.",prep
в конце,"Он помогал картеру в мировой дипломатии, например, в нормализации американо-китайских отношений В КОНЦЕ 1970-х годов.",prep
рядом с,Я представил себя РЯДОМ С ней в больничном халате и шлепках.,prep
в качестве,Сфинкс выступает В КАЧЕСТВЕ фона и рассказчика длинной истории.,prep
в виде,"На всей территории зимние, а в Арктике и летние осадки выпадают в виде снега.",prep
со стороны,"В официальном заявлении глава комитета обращает внимание на то, что подобные нарушения СО СТОРОНЫ властей не являются единичными.",prep
с помощью,"В неловкой, обезьяньей позе, С ПОМОЩЬЮ рук Валера одолел добрый отрезок трубы, а вчерашнего стыка все не было, и это стало его пугать не на шутку.",prep
по поводу,В свою очередь начальник отдела информации и связей с общественностью ― пресс-секретарь Минприроды Елена Пенязь обвинила Литву в сознательном уклонении от диалога с Беларусью ПО ПОВОДУ Островецкой АЭС.,prep
в связи с,В СВЯЗИ С принятием настоящего закона признать его утратившим силу.,prep
в случае,"Во время проведения выборов СЕ намекал, что ма может покинуть страну В СЛУЧАЕ кризиса.",prep
в начале,В НАЧАЛЕ своего существования этот большой пергаментный документ (размером 29¾ на 24½ дюйма) был свернут для более удобного хранения.,prep
глядя на,"ГЛЯДЯ НА самоуверенного, расписавшего меня наперед, подполковника Панка, на хитренького, хоть с виду и придурковатого кандидата в депутаты, гэбэшника или стукача Красевича, я начал их побаиваться…",prep
в области,"Ей принадлежит важная роль в международном научно-техническом сотрудничестве, в том числе В ОБЛАСТИ ядерных исследований, освоении космоса и т. д.",prep
за счет,Правосудие не может вершиться ЗА СЧЕТ новых убийств.,prep
в соответствии с,Привести нормативные правовые акты правительства республики Беларусь В СООТВЕТСТВИИ С настоящим законом.,prep
не без,"Похоже, НЕ БЕЗ сожаления он протянул его солдату.",prep
судя по,"За стеклом витрин лежало оружие, будто бы принадлежавшее ему, еще некие предметы, СУДЯ ПО надписям, они тоже принадлежали Змееборцу.",prep
в пользу,"Если нынешняя администрация США будет настаивать на осуществлении провозглашенной СНБ, то шансы В ПОЛЬЗУ данной альтернативы резко повышаются.",prep
в отличие от,"В ОТЛИЧИЕ ОТ многих европейских стран, где профессия врача одна из самых высокооплачиваемых, в Беларуси стоимость часа работы медицинских работников составляет всего 4404 рубля, а это между прочим только 59 , 7 от оплаты за час работы в промышленности.",prep
в отношении,Комитет по правам человека ООН выражает серьезную озабоченность приведенными в исполнение смертными приговорами В ОТНОШЕНИИ Дмитрия Коновалова и Владислава Ковалева.,prep
на основе,Информация подготовлена НА ОСНОВЕ еженедельной регистрации потребительских цен на 153 вида товаров и услуг в 31 городе страны.,prep
в силу,"Может, В СИЛУ своей научной интуиции она не поверила в господствующую версию.",prep
по сравнению с,"В феврале зарплата увеличилась ПО СРАВНЕНИЮ С январем на 2, 9%, или на 83, 7 тыс. Рублей.",prep
по мере,"Заседания правления потребительского общества проводятся ПО МЕРЕ необходимости, но не реже одного раза в месяц.",prep
на основании,16 марта мать Ковалева направила на имя Александра Лукашенко обращение с просьбой приостановить на год исполнение смертного приговора в отношении сына НА ОСНОВАНИИ статьи 61 конституции.,prep
во имя,"За деньги там, еще за что… не ВО ИМЯ самой музыки, короче.",prep
при помощи,"Ведь не сама собой, не волшебством, не чудом, а ПРИ ПОМОЩИ кнута и пряника.",prep
с целью,Создание многофункциональных оборонительных систем С ЦЕЛЬЮ комплексного решения задач обеспечения вооруженной защиты республики Беларусь.,prep
в рамках,Действующая на сегодняшний день система оплаты труда работников здравоохранения В РАМКАХ единой тарифной ставки первого разряда все равно не дает возможности достойно оценить напряженность и ответственность очень специфичной работы медицинского работника.,prep
в числе,Газета «Советская Беларусь» в обзоре поэзии упомянула его имя В ЧИСЛЕ молодых пролетарских поэтов.,prep
в ходе,Одним из наиболее заслуживающих внимания недавних примеров этого была компания в северной Атлантике В ХОДЕ второй мировой войны.,prep
в зависимости от,"Комитетом государственной безопасности Республики Беларусь может создаваться оперативный штаб, возглавляемый представителем Комитета государственной безопасности Республики Беларусь или Министерства внутренних дел Республики Беларусь В ЗАВИСИМОСТИ ОТ того, компетенция какого органа будет преобладающей в проведении конкретной контртеррористической операции.",prep
вплоть до,"Неустойка за нарушение сроков начала выполнения работы (оказания услуги), ее этапа взыскивается за каждый день (час, если срок определен в часах) просрочки ВПЛОТЬ ДО начала выполнения работы (оказания услуги) или предъявления потребителем требований, предусмотренных пунктом 1 настоящей статьи.",prep
в глазах,"― Не бей в оглобли, Роман Константинович, ― с недосказанным В ГЛАЗАХ сказал Ростик.",prep
в процессе,Отличники боевой и политической подготовки не будут В ПРОЦЕССЕ этой подготовки устраивать тебе велосипед.,prep
в условиях,"Интенсивная распашка плодородных почв, особенно В УСЛОВИЯХ пересеченной местности и сезонного увлажнения, привела к развитию здесь процесса эрозии.",prep
на протяжении,НА ПРОТЯЖЕНИИ четырех десятилетий общество возглавлял известный географ путешественник.,prep
наряду с,"Плательщики налога ведут раздельный учет доходов и расходов по каждой проводимой лотерее, а также по иным видам деятельности осуществляемым НАРЯДУ С деятельностью по организации и проведению лотерей.",prep
в пределах,Совет министров республики Беларусь В ПРЕДЕЛАХ своих полномочий решает вопросы и несет ответственность за всестороннее удовлетворение потребностей вооруженных сил.,prep
за исключением,"Однако, Star Alliance покрывает все, ЗА ИСКЛЮЧЕНИЕМ юго-восточной части тихоокеанского региона от Cантьяго-де-Чили до Таити.",prep
независимо от,"У меня есть своя компания, которая собирается в бане каждый четверг, НЕЗАВИСИМО ОТ того, случился ли в среду потоп, или произошло землетрясение.",prep
недалеко от,"В коридоре у выхода на лестницу, НЕДАЛЕКО ОТ моей палаты, топчется милиционер.",prep
в районе,"Авианосец ""конвенция"" находился В РАЙОНЕ своего постоянного местопребывания.",prep
по окончании,ПО ОКОНЧАНИИ заседания Троцкий сразу же направился к телеграфному аппарату.,prep
в честь,Назвали октябрем. В ЧЕСТЬ десятой годовщины Великого Октября.,prep
от имени,"Кэтрин Эштон добавила, что этот посыл белорусской стороне отправляется как ОТ ИМЕНИ Евросоюза, так и от отдельных стран-членов, которые имеют контакты в Беларуси.",prep
