expression,context
Naar het schijnt,"Thurston Moore, in een fanzine interview uit september 1987: Naar het schijnt heeft Madonna onze versie gehoord en vond ze het wel OK."
Onder de pannen,Onder de pannen 16.
Op de hoogte gebracht,Op de hoogte gebracht dat Israël op 29 juni weer vijf Palestijnen deporteerde.
Op het matje geroepen,"Op het matje geroepen door een Fox News-producer, sloeg hij terug: 'Mag ik ook op U pissen?'"
Over het paard getild zijn,Over het paard getild zijn. - Te zeer geprezen zijn zodat men verwaand is geworden.
Pijpenstelen regenen,Pijpenstelen regenen.
Uit het hoofd,AWS bijt zijn secretaris toe: “Uit het hoofd en noem me geen meneer!”
Uit het lood geslagen,Uit het lood geslagen worden.
Uit het vuistje,"Uit het vuistje eten zonder eetgerei iets opeten, bijvoorbeeld een hotdog, wafel, koffiekoek, ..."
Van De Week,Als laatste werd de hardste klapper bekendgemaakt in De Klapper Van De Week.
Van alle markten thuis,Van alle markten thuis.
Van de hoed en de rand weten,Van de hoed en de rand weten.
Van de week,Connie Vandenbos zelf had liever gehad dat Van de week had gewonnen. 't Is genoeg laat een klein stukje vrouwenemancipatie zien.
Van de weke,Van de weke delen als geheel is weinig bekend maar in één opzicht is Thescelosaurus er recent juist vrij beroemd mee geworden.
Van een mug een olifant maken,Van een mug een olifant maken.
Veel noten op zijn zang hebben,Veel noten op zijn zang hebben.
Voet bij stuk houden,Voet bij stuk houden.
Voor de hand liggende,Voor de hand liggende kandidaten zijn de supersymmetrische extensies van het standaardmodel van elementaire deeltjes.
Voor paal staan,Voor paal staan.
Water bij de wijn doen,Water bij de wijn doen.
Zijn eigen boontjes doppen,Zijn eigen boontjes doppen.
Zoete broodjes bakken,Zoete broodjes bakken.
aan de touwtjes trekken,"Chilperik wilde zelf aan de touwtjes trekken en ontpopte zich als vechter en leider, die altijd voorop ging in de strijd aan het hoofd van zijn troepen."
aan de touwtjes trekt,"Bepaalt een ieder zelf zijn eigen levensloop, of is er een hoger iemand of instantie die letterlijk aan de touwtjes trekt?"
aan de touwtjes trok,Tijdens Van Elderen's regeringsperiode was het De Méan die aan de touwtjes trok en hij was het die de Luikse Staten zover kreeg dat ze de oorlog verklaarden aan Frankrijk.
aanzien des persoons,Zonder aanzien des persoons.
aard van het beest,"De lokale bevolking lichtte hem in over de dodelijke aard van het beest, waarop de man zijn soldaten beval het dier te verrassen en zijn blik te mijden."
achter de rug,Zij hebben vaak een aangepaste MBO-opleiding achter de rug.
achter de rug-,Een rij van kleine vinnetjes achter de rug- en aarsvin is ook kenmerkend voor deze vissen. bij deze vissen ontbreekt een zwemblaas.
achter de rugvin,"De lantaarndragers onderscheiden zich slechts op een paar punten van de lantaarnvissen, zoals de positie van de aarsvin, die zich ver achter de rugvin bevindt."
achter het net vist,"Ondertussen zitten de mannen wel achter het plaatselijke vrouwelijk schoon aan, alhoewel Stan meestal achter het net vist."
af en toe,Naast zijn jarenlange televisiewerk verscheen hij ook af en toe op het grote scherm.
af en toen,Maar ik viel gelijk al af en toen was het met de voetballiefde ook afgelopen.'
als een paal boven water staan,"Het Deskundologisch Laboratorium maakt studie van het doodgewone: ‘Als je je onderzoek uitsluitend op de problemen richt, zie je de dingen die als een paal boven water staan over het hoofd."
bodem gelegd,De onderzeekabels in de oceanen worden los op de bodem gelegd (dus niet ingegraven of eraan bevestigd).
buiten de boot vallen,"Extra klasse voor GP-rijders die buiten de boot vallen, c."
buiten de boot vielen,Anderen die buiten de boot vielen traden echter toe tot rechts/conservatieve organisaties als de veteranenorganisatie Stahlhelm of de nog meer extreemrechtse paramilitaire SA (en later de SS) van de NSDAP.
dat het een aard heeft,"2016 August 30, Tom Heremans & Valerie Droeven, 'Maandag staat voor afzien', De Standaard. Het nieuwe tv-seizoen brengt op maandag in primetime vooral: pijn. In ‘Spoed 24/7’ wordt afgezien dat het een aard heeft, in ‘Eeuwige roem’ op Vier al evenzeer."
de brui gaf,Die dweepte zodanig met zijn werk dat hij bijna de brui gaf aan de poëzie.
de dans ontspringen,"Hij is het het beu om daar niet voor erkend te worden en om enkel maar te deugen om boetes te betalen, terwijl sommige anderen de dans ontspringen."
de dans ontsprongen,"De vraag dringt zich op of iemand deze aan het nadoen is, of dat de echte moordenaar destijds de dans ontsprongen is."
de dood of de gladiolen,"1976 August 14, Hein Groothuis, 'Verpoest bedwingt Wiersma', de Stem, page 9. „[ … ] En daar zal het de dood of de gladiolen zijn, want de tweede plaats telt niet voor mij”. '[ … ] And it will be all or nothing over there, because the second place is nothing to me.'"
de een na de ander,"Een voorbeeld: 'Voorwaar, Wij gaven Musa het Boek en deden boodschappers de een na de ander zijn voetsporen volgen."
de een na de andere,Na een periode van wederopbouw werd in de jaren vijftig de een na de andere tramlijn opgedoekt.
de goede oude tijd,De man eet en praat over de goede oude tijd.
de goeie oude tijd,Ik heb er even hard aan gewerkt als in de goeie oude tijd van Pelléas . . .'
de handdoek in de ring gegooid,"Velocette had al enkele jaren eerder de handdoek in de ring gegooid en Norton was overgenomen door Associated Motor Cycles, dat ook al de AJS-racers moest verzorgen."
de handdoek in de ring gooide,In de 'Final Elimination' (laatste zestien) verloor hij van Badr Hari nadat zijn trainer de handdoek in de ring gooide voor een ribblessure.
de handdoek in de ring gooien,"Þorbjörn wil nu de handdoek in de ring gooien, maar Sámr weerhoudt hem daarvan."
de kool en de geit spaarde,SGP-partijleider Bas van der Vlies vond dat het rapport 'de kool en de geit spaarde'.
de les las,"Hij noemde hem namelijk dikwijls als hij hem de les las 'modder aangelengd met bloed' (πηλὸν αἵματι πεφυρμένον / pēlòn aímati pephyrménon).» Theodorus was een van de meest vooraanstaande retorici van zijn tijd en was zelfs de stichter van een school van retorici die 'Theodorei' werden genoemd, om hen te onderscheiden van de 'Apollodorei', of volgers van Apollodorus van Pergamus, die de leraar van Gaius Octavius (de later Augustus) in Apollonia was geweest."
de les leest,"Vervolgens gaat hij terug naar zijn vrouw, die hem de les leest."
de les lezen,Iemand de les lezen.
de strijdbijl begraven,Door het plaatsen van deze steen werd symbolisch de strijdbijl begraven.
de teerling is geworpen,Hij spreekt hierbij de beruchte woorden: 'Alea iacta est' (de teerling is geworpen).
dertien in een dozijn,Manning had enkele baantjes van dertien in een dozijn.
door het lint gaat,"Hij wordt gestoken door een bij, waardoor hij door het lint gaat, en voor veel chaos zorgt."
door het lint gegaan,Mickey was helemaal door het lint gegaan en werd opgenomen in de instelling Bayview Sanitarium.
door het lint ging,Bij zijn latere carrière als dictator zijn velen getuige geweest van Hitlers beruchte woede-uitbarstingen waarbij hij dikwijls helemaal door het lint ging.
doorgestoken kaart,"Samen gaan ze echter doorgestoken kaart spelen bij poker, waardoor hun zakken volstromen."
een blauwtje liep,"Hij kwam op de Zuidlaardermarkt terecht, waar hij een blauwtje liep; hij keek vervolgens te diep in het glaasje, leed op de terugweg schipbreuk en verdronk."
een blauwtje lopen,Zijn halfzuster Margaretha Tulp liet Johan de Witt een blauwtje lopen en trouwde met Jan Six.
een lans brak,"In 1947 verscheen haar non-fictieboek The Everglades: River of Grass, waarin ze een lans brak voor de Everglades, een natuurgebied dat door velen gezien werd als een waardeloos moeras."
een lans breken,Hij wilde hiermee een lans breken voor christelijke PVV-stemmers.
een speld tussen krijgen,Er kwam geen einde aan het verhaal. Ik kon er amper een speld tussen krijgen.
ernaast zit,In het pand ernaast zit een muziekwinkel genaamd “King Toot's Music Store”.
fluitje van een cent,"Het bed in elkaar zetten is een fluitje van een cent, daar hoef je niet langer dan een uur mee bezig te zijn."
gebakken lucht,Er was alleen maar 'gebakken lucht'.
geboren en getogen,Zijn huwelijk met een in Frankrijk geboren en getogen familielid kan uitleggen waarom hij zich in het Franstalig deel van de Brugse bevolking goed thuis voelde.
gevleugeld woord,Pyrrhus' uitspraak werd een gevleugeld woord.
gevleugelde woord,"Pleij, Herman, Het gevleugelde woord."
gevleugelde woorden,Vele zinsneden staan bij de Russen van nu nog steeds bekend als gevleugelde woorden.
graag deed,"Opnieuw kreeg hij het advies om veel te wandelen en vooral te ontspannen met activiteiten die hij graag deed, zoals zijn liefhebberij voor vogels, zijn honden en het toneel in Oud-Geleen."
graag doen,"Doordat het water van de Dode Zee een zeer hoog zoutgehalte heeft, blijft men op het water drijven, wat veel mensen er dan ook graag doen."
graag doet,“Ze” zeggen dat je dingen moet doen die je graag doet.
graag gedaan,Per no cosa - graag gedaan Joia! - proost!
graagst deed,"Ondanks haar stijgende populariteit, stopte ze dat jaar met het acteren in films om zich te richten op wat ze het graagst deed; tekenen."
heilig huisje,"Het was niet de laatste keer, dat hij onbekommerd een heilig huisje omverstootte."
heilige Huis,"Ali zei: 'Ik ben superieur, omdat toen Maria zwanger werd door de Gratie van Allah, en haar bevalling naderde, een openbaring tot haar kwam: 'Verlaat dit heilige Huis omdat dit een Huis voor gebeden is, niet een plaats om kinderen te baren'."
heilige huisje,"1919, Gemeentblad, vol. 2, part 2, page 1847. En dan komt het heilige huisje van het gezag. And then there's the sacred cow of authority."
heilige huisjes,Green was niet bang om heilige huisjes om ver te duwen.
heilige huizen,"De titel is een blijk van waardering voor de fans, die op plaatsen kwamen die door de band ook wel heilige huizen werden genoemd."
het erom spannen,Ondanks deze deal bleef het erom spannen in de daaropvolgende seizoenen.
het had over,"Mogelijk was Gregorius van Nazianze (4e eeuw na Chr.) de eerste die het had over een ‘achtste wereldwonder’, in een epigram over een groot grafmonument."
het had overgenomen,Uiteindelijk wist Byung-chull een overeenkomst te sluiten en keerde hij terug naar Zuid-Korea maar Samsung moest het bestuur over de banken die het had overgenomen overgeven en diende de economische richtlijnen van de regering te volgen.
het had overleefd,En zo werd kenjutsu opnieuw ingevoerd; het had overleefd.
het hadden over,"De naam Igolote, Igolot of Igorotte werd door de Spanjaarden gebruikt, wanneer ze het hadden over de inheemse bevolking van de Cordillera Central."
het hadden overleefd,"Verder waren de Romeinse limitanei (soldaten die instonden voor het verdedigen van de grens) langs de Rijn gedecimeerd door de val van het grootste deel van hun forten, terwijl deze die het hadden overleefd weggevlucht waren van de grens om de steden in Gallië van een garnizoen te voorzien."
het hazenpad kiest,"De rechter wordt levenslang opgesloten, terwijl Luke het hazenpad kiest."
het hazenpad koos,"In 1830 kwam abrupt een einde aan zijn burgemeesterschap omdat hij, vanwege zijn Oranjegezindheid, de komst van de Belgische troepen niet vertrouwde en het hazenpad koos."
het hebben over,"En als we het hebben over economische groei, moeten we ook aandacht hebben voor sociale aspecten en het milieu."
het hebben overleefd,"Onder de artefacten die het hebben overleefd, zijn beelden uit het graf van Mausolos en de Tempel van Artemis in het British Museum in Londen te zien."
het heeft over,Bijvoorbeeld als ze het heeft over haar zusje.
het heft in eigen hand neemt,De plot gaat altijd over een vigilante; iemand die het heft in eigen hand neemt.
het heft in eigen hand nemen,De Griekse media rapporteren dat het gaat om boze winkeleigenaren die het heft in eigen hand nemen door met de politie samen te werken.
het laat afweten,"De wereldleiders werden het eens over de volgende hervormingen en acties: creatie van een 'Commissie voor de Opbouw van Vrede' om te zorgen voor een centraal systeem om landen te helpen die net uit een oorlogsconflict gekomen zijn overeenstemming dat de internationale gemeenschap het recht heeft om zich actief te bemoeien met landen waarin de nationale overheid het laat afweten om de verantwoordelijkheid te dragen voor de bescherming van het eigen volk tegen diverse misdaden creatie van de Mensenrechtenraad van de Verenigde Naties (gecreëerd op 9 mei 2006 en in werking getreden op 19 juni van datzelfde jaar) overeenstemming om meer middelen te investeren in het interne controlebureau van de organisatie verplichting om miljarden extra te besteden aan het bereiken van de Millenniumdoelstellingen duidelijke en onbetwistbare afkeuring van 'terrorisme in alle vormen en manifestaties' creatie van een fonds voor democratie overeenstemming om de Trustschapsraad op te heffen, door de voltooiing van de missie van de Raad."
het laten afweten,De Klaxons moesten het laten afweten vanwege een strottenhoofdontsteking bij zanger Jamie Reynolds.
het levenslicht gezien,Het had dus maar weinig gescheeld of de zo gewilde Kenzo truien hadden nooit het levenslicht gezien.
het levenslicht zag,"Ergerlijk Eliootje is de politieke parodie-strip die het levenslicht zag op Clint.be, Vlaanderens meest eigenwijze en vrij-gevochten nieuwssite."
het levenslicht zagen,"Tot zijn meer radicale ideeën het levenslicht zagen, noemden zelfs zulke pilaren van de Kerk als Augustinus hem 'heilige'."
het levenslicht zien,Anderen laten hem in Antwerpen het levenslicht zien omstreeks 1470 Zijn voornaam wordt soms gespeld als Janssone/Janszoon en zijn achternaam als Van Doornik of Van Dornick.
het levenslicht ziet,"De draagtijd duurt 30 dagen, waarna één jong het levenslicht ziet."
het licht gezien,Van de Kasseien heeft het licht gezien: hij gaat investeren in de vleesindustrie.
het licht zag,"Het stimuleerde Friedan aanvullend onderzoek te doen en het materiaal verder uit te werken tot een boek, dat in 1963 het licht zag."
het licht zagen,"Hij overleed echter in 2004, voordat de publicaties het licht zagen."
het licht zien,"Jaarlijks laat Reservaat één of twee uitgaven het licht zien: veelal literaire verhalen, reportages en brieven."
het licht ziet,"Net voordat de baby het licht ziet, raakt de Engel de baby tussen de bovenlip en de neus, dus op het filtrum, en alles wat de baby leerde is op slag vergeten."
het liet afweten,"In 1444, hoewel zijn gezondheid het liet afweten, wilde hij ieder deel van Italië bezoeken en vertrok hij om te prediken in het koninkrijk Napels."
het lieten afweten,Pacheco had Ali geadviseerd met pensioen te gaan toen hij zag dat Ali's reflexen het lieten afweten.
het loodje gelegd,De 750 Mach IV had al een jaar eerder het loodje gelegd.
het loodje legden,"Onder andere in het Rijsterborgherpark, waar meer dan honderd bomen het loodje legden, werd een ware catastrofe aangericht."
het loodje legt,"De larve leeft van de bast en het spinthout, en kan met het graven van gangen zoveel schade aanrichten dat de boom het loodje legt."
het onderspit delfde,"Maar Malisse verloor van Nalbandian, die in de finale het onderspit delfde tegen Lleyton Hewitt."
het onderspit delfden,Cresconius nam deel aan de conferentie van Carthago (410) waar Donatisten het onderspit delfden tegen de katholieken.
het onderspit delft,"De twee rivalen besluiten een eerbaar duel aan te gaan, waarbij Abdalla het onderspit delft."
het onderspit delven,"De graven van Holstein en de hertogen van Sleeswijk probeerden de welvarende kerspelen in te lijven, maar moesten meermaals het onderspit delven."
het onderspit dolven,"De geschiedenis van de erfgooiers kenmerkt zich door de continue strijd tussen de geletterde betere standen en de ongeletterde Gooise boeren, die daarbij vaak het onderspit dolven."
het onderspit gedolven,Wij hebben nog nooit in de strijd het onderspit gedolven.
hoe de vork in de steel zat,"Met behulp van April O'Neil, een bevriende verslaggeefster, vonden ze dr. Stockman die hen na veel dreigementen vertelde hoe de vork in de steel zat."
hoe de vork in de steel zit,De muilezel gaat op zoek naar Stirling en vertelt hem hoe de vork in de steel zit.
in de kinderschoenen staat,Aanloopkosten zijn kosten die gemaakt worden omdat hetgeen waarvoor de kosten gemaakt worden nog in de kinderschoenen staat.
in de kinderschoenen stond,"Omdat de boekdrukkunst in Engeland nog in de kinderschoenen stond, maakte hij er een gewoonte van zijn titels (in samenwerking met Wynkyn de Worde?) in het Engels te vertalen en die boeken naar Engeland te verschepen om ze daar te verkopen."
in de kinderschoenen stonden,"Disney was echter terughoudend met het geven van een groot budget aan een beginnend producer en regisseur, die bovendien technieken wilden gebruiken die nog in de kinderschoenen stonden."
in de maling genomen,"De altijd goedgelovige Steketee wordt nogal eens door de prins in de maling genomen, maar blijft hier altijd vrolijk onder."
in de maling neemt,De grap wordt door zijn vriendin teruggekaatst als ze Atwood zelf in de maling neemt door hem te vertellen dat zij ook vreemd is gegaan.
in de pan gehakt,De piraten aan land zitten in de val en worden in de pan gehakt door de achtervolgende Spanjaarden.
in de put zit,"Naomi heeft moeite met haar moeder, die in de put zit sinds ze heeft besloten te scheiden van haar man."
in de put zittend,"Ditmaal is hij degene die verlaten wordt en zwaar in de put zittend, duikt hij onaangekondigd op bij het huis van Emily."
in de rug gestoken,Opeens wordt Arthur in de rug gestoken.
in de rug steekt,Level 4 - Directe moord wanneer je een vijand in de rug steekt.
in de steek gelaten,"Maria: Nee, die heeft mij in de steek gelaten, hij beweert dat het kind niet van hem is."
in de steek laat,Amber krijgt ruzie met Kyra omdat ze zich gedraagt als een vedette en haar vrienden in de steek laat.
in de steek laten,"Ella Maillart, die later schreef dat ze haar op deze reis had willen 'redden', moest haar in Kabul noodgedwongen in de steek laten omdat ze niet opgewassen was tegen Schwarzenbachs neiging tot zelfdestructie."
in de steek liet,Mérimée was iemand die zijn vrienden niet in de steek liet.
in de steek lieten,"Ze liet zich steeds weer met getrouwde mannen in, die haar vervolgens weer in de steek lieten."
in de weer geweest,"Samen waren ze in de weer geweest om alles opnieuw op de rails te krijgen, hetgeen gelukt is."
in de weer zijn,"Ik kon er veel energie in kwijt, lekker sporten en veel in de weer zijn.'"
in de wind geslagen,Deze motie werd weliswaar aangenomen (op 10 mei 2005) maar door de regering in de wind geslagen.
in de wind slaan,De Franse keizer reageerde furieus op het in de wind slaan van zijn aanwijzingen en adviezen.
in de wind sloeg,Nadat Karel de Grote het advies van Stefanus III in de wind sloeg en huwde met Desiderata werd het verhaal van Himitrude vergeten.
in het huwelijksbootje stapte,"In 1964 ondernam ze een vijf maanden durende Saharareis, waar ze de toeareg Ahmed M’Barek leerde kennen, waarmee ze bij haar terugkeer in Duitsland in het huwelijksbootje stapte."
in het huwelijksbootje stapten,"In 1913 werd een Nederlandse wet die het ontslaan van getrouwde vrouwen voorschreef teruggedraaid, maar in 1924 werd het Koninklijk besluit genomen om alle vrouwelijke ambtenaren jonger dan 45 te ontslaan zodra zij in het huwelijksbootje stapten."
in het water gevallen,Door interne strubbelingen in de bond en het feit dat vijf leden de bond verlieten was het seizoen 1904/05 in het water gevallen en werden er enkel vriendschappelijke wedstrijden gespeeld.
in het water vallen,Tijdens de gezamenlijke wandeling van de twee buren zien ze een kind vanaf een brug in het water vallen.
in het water valt,"Het hele team denkt dat de missie in het water valt, want hij verpest het plan."
in het water viel,"De boeg dreef weg van de kade, waardoor een passagiersbrug in het water viel."
in het water vielen,Hoewel het geallieerde bereik niet zo goed was en ze problemen hadden met granaten die al na korte tijd in het water vielen waren hun kanonnen nauwkeuriger en ze waren in staat om de granaten erg dicht bij hun doel te brengen.
ivoren toren,Dit zou hem de reputatie opleveren in een 'ivoren toren' te leven.
jaar in jaar uit,De hennepteelt kon jaar in jaar uit op hetzelfde perceel plaatsvinden.
je van het,Vroeger werd het eiland ook Ephora (Έφορα = wachttoren) genoemd omdat je van het hoogste punt de zee tot op grote afstand kon afspeuren.
koek en ei,Toch is niet alles koek en ei binnen nazi-Duitsland.
koekje van eigen deeg,Toch weet Hoffman het in zijn eentje klaar te spelen om de bewaking dit keer af te troeven en geeft Jill een koekje van eigen deeg door dit keer bij haar de Reverse bear trap aan te doen die wel succes heeft.
komaf gemaakt,Daarnaast wordt ook komaf gemaakt met het dubbelmandaat dat de parlementairen hadden door zowel in het nationale als in het deelstaatparlement te zetelen.
komaf maken,De Landsleiding wilde komaf maken met de typisch Vlaamse lintbebouwing en nam zich voor de ontwikkeling van de dorpskernen te stimuleren.
koste wat kost,Het huwelijk met Matthias Corvinus bleef kinderloos en Beatrix van Napels probeerde koste wat kost te voorkomen dat Matthias' buitenechtelijke zoon Johannes (Janos) Corvinus koning zou worden.
kwalijk genomen,Bij een vergelijkbare ontmoeting met Ronald Reagan in Bitburg (1985) werd zowel Kohl als Reagan kwalijk genomen dat ze dat deden op het soldatenkerkhof waar ook SS-leden lagen.
kwalijk nam,Tegenwoordig is echter bekend dat deze aanval werd bevolen door de koning en dat Moltke het zichzelf kwalijk nam dat hij niets had gedaan om hem te voorkomen.
kwalijk neemt,"Bruno wil echter niks van John en zijn moeder weten, omdat hij het zijn moeder nog steeds kwalijk neemt dat ze zijn inmiddels overleden vader in de steek heeft gelaten voor John."
kwalijk nemen,Niemand zal het u kwalijk nemen.
lang verhaal kort,De vaste uitspraak van Teun Stier was 'om een lang verhaal kort te maken...'
luis in de pels,"Hij bleef echter een luis in de pels van David van Bourgondië, zodat deze hem enkele jaren na de Eerste Utrechtse Burgeroorlog, samen met zijn broer Reinoud, in 1470 gevangen zette op het Kasteel Duurstede in Wijk bij Duurstede."
makkelijker gezegd dan gedaan,"Charlotte leidt Louise in in de wereld van de vrouw, maar dat blijkt makkelijker gezegd dan gedaan."
met alle winden meewaaien,"In de periode na de Sergeantencoup in februari 1980 huldigde hij het idee van het buigend riet dat de door hem bewonderde Mahatma Gandhi had gepropageerd, en dat door zijn opponenten spottend 'met alle winden meewaaien' werd genoemd."
met een kanon op een mug schieten,Justin heeft geen spontane bloedingen. Zelfs amper een blauwe plek op het moment. Dan is zo'n miltextirpatie zo'n beetje het zelfde als met een kanon op een mug schieten.
met een korrel zout,"De term Glücklichen Zeiten dient wel met een korrel zout genomen te worden, gezien de gevaarlijke en extreme omstandigheden waarin de U-bootbemanningen werkten."
met een korreltje zout,Daarom moet deze bron waarschijnlijk met een korreltje zout genomen worden.
met hand en tand,"Hij verdedigt met hand en tand de descriptietheorie van Russell, beschrijvende theorieën van anafora, de op intentie gebaseerde theorie van betekenis van Paul Grice en een algemene benadering van betekenis en interpretatie die hij linguistic pragmatism noemt."
met man en muis,In het Algemeen Handelsblad van 11 juli 1882 stond het volgende ooggetuigenverslag: Er is geen twijfel meer of de Adder is met man en muis vergaan.
met sint-juttemis,"De volledige uitdrukking is met sint-juttemis, als de kalveren op het ijs dansen."
met twee woorden spreken,Het kind wil niet langer handjes geven en met twee woorden spreken.
mij niet gezien,Zou jij je opgeven voor een reality-show? — mij niet gezien!
mij niet zien,Dat zult u bij mij niet zien.
mosterd na de maaltijd,Dat is mosterd na de maaltijd.
naar het schijnt,"Wel maakte hij tal van schulden, naar het schijnt in de ijdele veronderstelling dat hem geld zou toevloeien via de familie van zijn vrouw."
om het leven gekomen,Aan de kant van het regime zijn vijf mensen om het leven gekomen.
om het leven komen,Vervolgens rekent Robert af met Arthur Mulder en Sam de Koning waarbij ze allebei om het leven komen.
om het leven komt,"Wanneer haar beste maatje Cisse om het leven komt, is Vanessa erg aangeslagen."
om het leven kwam,"Peter Fechter (Berlijn, 14 januari 1944 – 17 augustus 1962) is bekend geworden omdat hij als vluchteling bij de Berlijnse Muur om het leven kwam."
om het leven kwamen,"Er vond in 1988 een busongeluk plaats, waarbij 16 mensen om het leven kwamen."
om zeep geholpen,Zij was om zeep geholpen door een criminele glazenwisser.
om zeep helpt,(Voorbeeld: 'De bewering dat fractiediscipline de democratie om zeep helpt is misschien wat te kort door de bocht.')
onder de Panamese,"Panama had geen eigen koopvaardijvloot, maar veel schepen voeren onder de Panamese vlag."
onder de Panningse,De studio's zijn gevestigd onder de Panningse bibliotheek in een oude atoomschuilkelder.
onder de knie,Haar been werd onder de knie afgezet en vervangen met een houten beenprothese die ze gekscherend de bijnaam 'Cuthbert' gaf.
onder de knieschijf,Dan klopt hij met de reflexhamer ter hoogte van de kniepees net onder de knieschijf.
onder de knieën,De buik en poten (onder de knieën) zijn licht van kleur.
onder de pandhouders,Een tak van de Piecken hadden hun domicilie in Beesd en was met zes leden vertegenwoordig onder de pandhouders.
onder de pannen,Toen ik even geen kamer meer had kon ik een paar maanden bij mijn vriendin onder de pannen.
onder de pannetjes,Het traditionele gourmetten gebeurt op vuur met kleine spiritusbranders onder de pannetjes.
onder de panoramavrijheid,Het gebruik onder de panoramavrijheid mag voorts geen afbreuk doen aan de normale exploitatie van het werk en geen onredelijke schade berokkenen aan de wettige belangen van de auteur.
onder de pantsers,"Ze zijn soms bewaard gebleven binnenin de holtes van andere organismen, bijvoorbeeld in de schelpen van hyolieten, in sponzen, de gangen van wormen en onder de pantsers van tweekleppige geleedpotigen."
onder geen beding,"Voor het Land van Luik, degene die het meest de vrijheid waard is van alleen die haar vlag hebben gehesen, zullen onze onderhandelaars verlaten om een wijze vrede te dicteren, die wij onder geen beding door de geest van verovering zullen verspillen."
ongelikte beer,Een ongelikte beer.
op de hak genomen,"Hierin worden succesfilms op de hak genomen in de stijl van Scary Movie, Not Another Teen Movie en Date Movie."
