expression,context
Banbury Story of a Cock and a Bull.—The,"A Banbury Story of a Cock and a Bull.—The saying 'It is a cock and bull story' is common enough, as every one knows, at the present day; but in former times—I mean in the last century—the phrase always ran thus 'It is a Banbury story of a cock and a bull.' Can you inform me why was Banbury in particular fixed upon as the locality of the story? —Falgate.]"
Banbury story of a cock and a bull,"Nor was she uncaring, mean-spirited or likely to go about spreading a Banbury story of a cock and a bull."
Basket Houses,"Like a union is what some bearded beatniks and long-tressed girls are trying to form at Greenwich Village 'Basket Houses.' 'Basket Houses' are coffee houses where they pass the basket to collect tips for the entertainers, who are not on the payroll."
Be mother,"Be mother, will you, Charity? Teile and Letizia have a watered-down version.', So they had a pleasant tea, although Charity kept an anxious eye on the clock, keen not to outstay her welcome."
Be that as it may,"Be that as it may, the duty of all communicants lies plain."
Bear in mind,Bear in mind you could lose it all if you're not careful.
Beats me,Do you have any idea what 'tergiversate' means? Beats me!
"Been there, done that","Paragliding? Been there, done that, bought the T-shirt."
Believe it or not,"That depends on how long the sentence is. Believe it or not, there’s a canon of construction about provisos, and the test is anything but clear: …"
Best regards,"I look forward to finally meeting you in person. Best regards, Peter."
Between the hammer and the anvil,The sinner / Will testify / They'll suffer / When sacrificed on high / The burning sermons purge their evil words / Between the hammer and the anvil
Big Gun,Berra Is Big Gun In Yankee Victory
Big deal,He can run a mile in six minutes? Big deal! Some people can do it in four.
Big fish in a small pond,"[']I'd have gotten promotion, so I would have been higher up in a smaller organization.' / 'What's wrong with that? Big fish in a small pond, right?'"
Birds of a feather,Birds of a feather do fall out sometimes.
Birth tourism,“Birth tourism” is a xenophobic myth.
Bite me,"She swiped at her tears with the palm of her hand, slipped his front-door key into the breast pocket of his leather suit jacket, whispered to the dead man, “Bite me, asshole.”"
Blame Game,"She was, in addition, always extremely careful to share with the friends in her Support System her belief that it would be whiny and pathetic to play what she derisively called the 'Blame Game' and blame her constant and indescribable adult pain on their parents' traumatic divorce or their cynical use of her."
Bless you,"“What's that?” said Ron, pointing at a large dish of some sort of shellfish stew that stood beside a large steak-and-kidney pudding., “Bouillabaisse,” said Hermione., “Bless you,” said Ron., “It's French,” said Hermione, “I had it on holiday summer before last. It's very nice.”"
Blood is thicker than water,"Blood is thicker than water, is it not? If cousins are not friends, who can be?"
Blow me,"When she told him to get lost, he said, 'Blow me, bitch!'"
Blue Wall of Silence,"We've all heard of the Blue Wall of Silence, the code under which cops stay mum about rogue cops who poison the barrel."
Bob's your uncle,"All you need to do is learn to make these little loops and Bob's your uncle, you're a real live knitter."
Boiling Frog,"You can guess what the politicians said back then, too. 'Don't worry,' I'll bet they claimed, 'tax rates will never rise!' It's the Boiling Frog Syndrome all over again."
Born and bred,"Oh, you're from America? -- Born and bred."
Bottom Bitch,A Bottom Bitch has a social status above the rest of the girls
Bottom fishing,"“Bottom fishing during and after financial crises is nothing new,” says Jerry Haar, a professor at the business school of Florida International University."
Boy howdy,"If there wasn't a dragging brake beam to rip me down the back, I was go'n make it! Boy howdy, I did some fancy praying."
Brass Ceiling,"2007, Breaking Through the Brass Ceiling: Elite Military Women's Strategies for Success. ProQuest. →ISBN"
Break out,Break out the bubbly and celebrate.
Bright Young Thing,"'So you're going back to college in a fortnight,' I said to the Bright Young Thing on the veranda of the summer hotel. 'Aren't you sorry?' 'In a way I am,' she said, 'but in another sense I'm glad to go back. One can't loaf all the time.' . . . How full of purpose these modern students are, I thought to myself."
Bring on,"The impatience here is palpable: 2000, here we come! Bring on Gore! Bring em all on!"
Bronx cheer,The original ending [of Charles Ives's Symphony No. 2] is preferable; the final dissonance in the published version is a Bronx cheer completely out of the spirit of the rest of the work.
Bronx cheers,"He [Louis XIV of France] lost major battles and wars, signed ruinous treaties, handed over territories to his enemies, and so completely undermined his personal reputation that in 1715 his corpse was greeted with Bronx cheers as it went to its resting place."
Brownie points,"However, you get Brownie points for having spelled my names right—all of them, and the first time too!"
Buckle up,"Buckle up every time you drive somewhere in a car, and make sure your passengers buckle up, too."
Buckley's chance,"'So he has a chance,' said Connie. 'Buckley's chance, the way his luck is. Fell out with his girl he did, and lost his job, and now 'e's goin' to lose 'is life. The unluckiest man that ever lived.'"
Bugger off,"Bugger off! You are joking, aren't you?"
Buggins's turn,He will be appointed on the principle of Buggins's turn.
Build a better mousetrap,"Build a better mousetrap, and the world will beat a path to your door. misattributed to Ralph Waldo Emerson"
"Bumfuck, Egypt","One screwup and he could be splitting rocks on a chain gang somewhere in Bumfuck, Egypt."
Business as Usual,"The phase^([sic]) “Business as Usual” ran about the world, and the papers abounded in articles in which going on as though there was no war at all was demonstrated to be the truest form of patriotism. [ … ] “Business as usual during Alterations to the Map of Europe” was the advertisement of one cheerful barber, widely quoted. . . ."
Bust a move,"'Bust a move, it's The Man.'"
Buzz off,"Don’t let anyone say, “Buzz off!”"
By no means,"By no means am I suggesting that euthanasia should be outlawed, but rather that we should look at its inherent risks."
By the way,"“A very welcome, kind, useful present, that means to the parish. By the way, Hopkins, let this go no further. We don't want the tale running round that a rich person has arrived. Churchill, my dear fellow, we have such greedy sharks, and wolves in lamb's clothing.[ … ]”"
Calm your tits,"The act of pareidolia is such that the culmination of completely arbitrary events leads to the jackrabbit assumption that we might as well call it a day and close shop. Without any hard evidence, we wave the white flag. And yes, an earthquake counts as an arbitrary event. Calm your tits."
Can it,"Can it, you two! I'm trying to work."
Chance'd be a fine thing,Me winning the lotto? Chance'd be a fine thing.
Day after day,Day after day they added entries.
Dead Cat Bounce,"There's this thing called the Dead Cat Bounce. It's a stock market term, I believe. What it's talking about is the fact that even a stock that is essentially worthless and really going nowhere but down for ever can register a slight upward movement, just for a bit, because there is generally a floor for almost everything. The comparison rests on the fact that even when a cat hits the pavement from forty stories high and dies instantly, it'll still bounce back up a little."
Dead Soldier,Another Dead Soldier! (Lays the bottle gently on its side.)
December bride,"Marguerite: She's afraid y'all will laugh at 'em and make fun of 'em for getting married when they're so old. . . . Mr Mingo: Oh, we'll laugh a little bit. They have to expect that. A December bride has to expect some teasing."
Dip into,Dip into a nice book.
Dirty money,"Taken together, the articles exposed a dark truth: “Dirty money” — terrorist financing, drug cartel funds, fortunes embezzled from developing nations, the profits from organized crime — flows so freely through the world’s most powerful financial institutions that it has become inextricable from the so-called legitimate economy."
Disgusted of Tunbridge Wells,"It was refreshing that what raised the hackles of Disgusted of Tunbridge Wells had nothing to do with a colourful range of jumpers, nor a flighty Italian art director/photographer."
Disgusteds of Tunbridge Wells,The inanity of the British attack is obvious from some of the words the early Disgusteds of Tunbridge Wells complained about.
Dismal Sciences,"Two Dismal Sciences: Economics and National Security—Writing during World War II, J. B. Condliffe lamented, 'Economists have not contributed in very large measure to the recent outpouring of publications on the causes, conduct, and consequences of war.' By the turn of the millennium, however, the situation had changed."
Do me a favour,You expect me to clean up all this mess for you? Do me a favour.
